#x  D0  Dm
49  193  32
47  192  40
45  191  54
43  195  72
41  196  77
39  197  89
37  200 100
35  201 108
33  199 114
31  198 120
29  197 128
27  196 135
25  195 141
23  194 147
21  195 154
19  191 158
17  192 164
15  192 170
13  192 175
11  193 180
 9  193 184
 7  192 186
 5  190 186
 3  188 186
