#x  D0  Dm
 3  86  86
 5  87  86
 7  89  86
 9  88  85
11  88  83
13  86  79
15  84  76
17  81  72
19  79  68
21  81  69
22  79  68
23  80  67
24  79  66
25  79  64
26  79  63
27  79  63
28  79  63
29  78  62
31  78  61
32  78  61
33  78  62
34  77  62
35  79  64
36  80  64
37  79  63
38  79  63
39  77  64
40  77  63
41  78  62
42  77  62
44  75  63
46  71  63
48  70  63
49  71  63
